,class,BrdIndx,Area,Round,Bright,Compact,ShpIndx,Mean_G,Mean_R,Mean_NIR,SD_G,SD_R,SD_NIR,LW,GLCM1,Rect,GLCM2,Dens,Assym,NDVI,BordLngth,GLCM3,BrdIndx_40,Area_40,Round_40,Bright_40,Compact_40,ShpIndx_40,Mean_G_40,Mean_R_40,Mean_NIR_40,SD_G_40,SD_R_40,SD_NIR_40,LW_40,GLCM1_40,Rect_40,GLCM2_40,Dens_40,Assym_40,NDVI_40,BordLngth_40,GLCM3_40,BrdIndx_60,Area_60,Round_60,Bright_60,Compact_60,ShpIndx_60,Mean_G_60,Mean_R_60,Mean_NIR_60,SD_G_60,SD_R_60,SD_NIR_60,LW_60,GLCM1_60,Rect_60,GLCM2_60,Dens_60,Assym_60,NDVI_60,BordLngth_60,GLCM3_60,BrdIndx_80,Area_80,Round_80,Bright_80,Compact_80,ShpIndx_80,Mean_G_80,Mean_R_80,Mean_NIR_80,SD_G_80,SD_R_80,SD_NIR_80,LW_80,GLCM1_80,Rect_80,GLCM2_80,Dens_80,Assym_80,NDVI_80,BordLngth_80,GLCM3_80,BrdIndx_100,Area_100,Round_100,Bright_100,Compact_100,ShpIndx_100,Mean_G_100,Mean_R_100,Mean_NIR_100,SD_G_100,SD_R_100,SD_NIR_100,LW_100,GLCM1_100,Rect_100,GLCM2_100,Dens_100,Assym_100,NDVI_100,BordLngth_100,GLCM3_100,BrdIndx_120,Area_120,Round_120,Bright_120,Compact_120,ShpIndx_120,Mean_G_120,Mean_R_120,Mean_NIR_120,SD_G_120,SD_R_120,SD_NIR_120,LW_120,GLCM1_120,Rect_120,GLCM2_120,Dens_120,Assym_120,NDVI_120,BordLngth_120,GLCM3_120,BrdIndx_140,Area_140,Round_140,Bright_140,Compact_140,ShpIndx_140,Mean_G_140,Mean_R_140,Mean_NIR_140,SD_G_140,SD_R_140,SD_NIR_140,LW_140,GLCM1_140,Rect_140,GLCM2_140,Dens_140,Assym_140,NDVI_140,BordLngth_140,GLCM3_140
0,grass ,2.97,252,1.73,164.13,3.2,3.09,184.15,152.03,156.22,7.22,7.33,6.96,1.09,0.58,0.61,6.48,1.55,0.26,0.1,196,3155.18,2.75,728,1.45,159.96,2.06,2.85,180.45,147.77,151.66,9.3,11.09,10.54,1.67,0.68,0.74,7.02,1.73,0.63,0.1,308,2215.03,1.89,2190,1.18,166.75,2.01,2.0,190.87,151.97,157.41,20.74,22.35,20.07,1.91,0.82,0.75,7.88,1.76,0.71,0.11,374,991.55,1.84,2319,1.16,164.58,1.93,1.97,187.47,150.43,155.83,26.6,24.98,22.81,1.89,0.84,0.75,7.97,1.83,0.67,0.11,380,833.48,3.12,5516,1.77,177.48,2.65,3.34,191.37,168.35,172.71,29.68,33.43,31.49,2.02,0.84,0.7,8.48,1.81,0.53,0.06,992,896.18,2.96,5591,1.77,176.1,2.61,3.17,190.04,166.92,171.33,31.71,35.47,33.52,2.02,0.86,0.71,8.5,1.82,0.54,0.06,948,821.84,2.96,5591,1.77,176.1,2.61,3.17,190.04,166.92,171.33,31.71,35.47,33.52,2.02,0.86,0.71,8.5,1.82,0.54,0.06,948,821.84
1,pool ,2.17,115,1.48,145.5,2.6,2.42,81.39,149.49,205.62,16.21,16.2,16.53,1.77,0.61,0.59,6.51,1.4,0.64,-0.29,104,3285.12,2.08,241,1.35,162.29,2.12,2.42,108.09,171.37,207.4,41.89,40.26,33.21,2.63,0.79,0.64,7.45,1.5,0.74,-0.23,150,1767.38,1.29,338,0.5,146.42,1.56,1.47,93.27,152.89,193.11,43.31,46.17,40.75,2.56,0.81,0.89,7.63,1.81,0.73,-0.24,108,1577.25,1.29,338,0.5,146.42,1.56,1.47,93.27,152.89,193.11,43.31,46.17,40.75,2.56,0.81,0.89,7.63,1.81,0.73,-0.24,108,1577.25,1.29,338,0.5,146.42,1.56,1.47,93.27,152.89,193.11,43.31,46.17,40.75,2.56,0.81,0.89,7.63,1.81,0.73,-0.24,108,1577.25,1.29,338,0.5,146.42,1.56,1.47,93.27,152.89,193.11,43.31,46.17,40.75,2.56,0.81,0.89,7.63,1.81,0.73,-0.24,108,1577.25,1.29,338,0.5,146.42,1.56,1.47,93.27,152.89,193.11,43.31,46.17,40.75,2.56,0.81,0.89,7.63,1.81,0.73,-0.24,108,1577.25
2,concrete ,1.98,608,2.08,237.84,2.75,2.33,214.42,249.34,249.76,10.84,7.55,6.73,2.97,0.58,0.55,7.07,1.11,0.9,-0.08,230,2891.86,1.93,643,1.99,237.19,2.6,2.25,214.5,248.44,248.63,10.66,8.54,8.37,2.97,0.57,0.59,7.06,1.17,0.9,-0.07,228,2873.73,1.93,643,1.99,237.19,2.6,2.25,214.5,248.44,248.63,10.66,8.54,8.37,2.97,0.57,0.59,7.06,1.17,0.9,-0.07,228,2873.73,1.93,643,1.99,237.19,2.6,2.25,214.5,248.44,248.63,10.66,8.54,8.37,2.97,0.57,0.59,7.06,1.17,0.9,-0.07,228,2873.73,5.66,3050,2.67,224.42,4.33,5.79,209.04,232.72,231.49,18.8,22.05,23.53,1.4,0.7,0.12,7.86,1.04,0.62,-0.05,1280,1880.54,5.66,3050,2.67,224.42,4.33,5.79,209.04,232.72,231.49,18.8,22.05,23.53,1.4,0.7,0.12,7.86,1.04,0.62,-0.05,1280,1880.54,2.97,7967,0.99,209.02,1.66,3.02,197.07,215.01,214.99,26.92,30.24,30.22,1.4,0.82,0.81,8.14,2.13,0.44,-0.04,1080,894.57
3,grass ,2.19,214,1.32,157.63,2.34,2.32,205.71,127.43,139.73,10.91,7.67,6.46,1.25,0.8,0.72,6.66,1.77,0.46,0.23,136,1395.14,2.53,1030,1.37,160.96,1.99,2.96,219.28,119.88,143.72,13.36,10.65,8.79,3.04,0.83,0.73,7.38,1.37,0.89,0.29,380,1248.34,2.53,1030,1.37,160.96,1.99,2.96,219.28,119.88,143.72,13.36,10.65,8.79,3.04,0.83,0.73,7.38,1.37,0.89,0.29,380,1248.34,3.15,3273,1.28,168.99,2.04,3.22,223.09,131.94,151.95,15.95,18.26,15.12,1.3,0.82,0.74,7.69,1.93,0.31,0.26,738,1183.12,4.88,5646,1.92,164.25,2.81,4.93,215.86,128.62,148.26,25.29,22.88,21.6,1.08,0.86,0.65,8.14,1.86,0.2,0.25,1482,807.05,4.88,5646,1.92,164.25,2.81,4.93,215.86,128.62,148.26,25.29,22.88,21.6,1.08,0.86,0.65,8.14,1.86,0.2,0.25,1482,807.05,4.88,5646,1.92,164.25,2.81,4.93,215.86,128.62,148.26,25.29,22.88,21.6,1.08,0.86,0.65,8.14,1.86,0.2,0.25,1482,807.05
4,grass ,1.39,120,0.81,205.11,1.52,1.46,226.85,192.22,196.28,8.88,7.37,7.56,1.08,0.63,0.82,6.18,1.9,0.17,0.08,64,2387.5,1.95,899,1.21,200.58,1.8,2.57,220.01,189.09,192.63,13.71,14.92,13.16,4.47,0.79,0.72,7.46,1.26,0.93,0.08,308,1388.07,1.89,2203,1.12,193.32,1.58,3.0,215.2,178.52,186.25,13.69,19.87,16.86,7.9,0.77,0.79,7.62,1.01,0.98,0.09,564,1509.42,1.39,2441,0.81,187.95,1.43,2.22,209.64,173.08,181.14,22.76,26.04,23.34,7.9,0.87,0.87,7.81,1.09,0.98,0.1,438,702.73,1.39,2441,0.81,187.95,1.43,2.22,209.64,173.08,181.14,22.76,26.04,23.34,7.9,0.87,0.87,7.81,1.09,0.98,0.1,438,702.73,1.82,2934,1.54,184.23,2.49,2.25,198.97,173.16,180.55,32.11,24.24,21.91,3.77,0.95,0.65,8.21,1.27,0.91,0.07,488,368.69,5.19,21265,3.56,176.46,8.85,5.32,176.79,174.97,177.63,33.0,26.69,25.35,1.54,0.92,0.17,8.86,0.94,0.25,0.01,3104,530.61
5,concrete ,2.16,1080,1.22,222.42,1.86,2.8,196.22,234.69,236.34,6.85,6.06,6.42,4.29,0.45,0.77,6.55,1.24,0.95,-0.09,368,3032.09,2.21,1672,1.07,220.97,2.1,3.13,194.24,233.45,235.24,7.28,6.76,6.86,5.72,0.53,0.73,6.68,1.06,0.98,-0.09,512,2712.74,2.21,1672,1.07,220.97,2.1,3.13,194.24,233.45,235.24,7.28,6.76,6.86,5.72,0.53,0.73,6.68,1.06,0.98,-0.09,512,2712.74,3.35,17232,2.48,219.83,4.63,5.92,196.23,230.85,232.42,12.23,12.8,12.24,10.37,0.73,0.44,7.34,0.51,1.0,-0.08,3106,1530.92,3.43,17777,2.46,219.6,4.51,6.06,196.84,230.15,231.82,13.3,14.29,13.41,10.33,0.75,0.44,7.41,0.51,1.0,-0.08,3232,1424.27,3.43,17777,2.46,219.6,4.51,6.06,196.84,230.15,231.82,13.3,14.29,13.41,10.33,0.75,0.44,7.41,0.51,1.0,-0.08,3232,1424.27,3.43,17777,2.46,219.6,4.51,6.06,196.84,230.15,231.82,13.3,14.29,13.41,10.33,0.75,0.44,7.41,0.51,1.0,-0.08,3232,1424.27
6,grass ,2.41,246,1.49,152.1,2.11,2.61,201.5,119.24,135.57,12.52,12.42,11.97,2.04,0.73,0.7,6.83,1.56,0.7,0.26,164,2054.65,2.77,1018,2.33,154.75,3.33,2.82,197.68,125.3,141.26,21.74,22.93,21.16,1.31,0.73,0.68,8.01,1.74,0.2,0.22,360,1860.08,3.05,1526,3.14,156.07,5.66,3.28,197.44,127.26,143.49,29.33,21.35,21.61,2.11,0.81,0.43,8.38,1.0,0.84,0.22,512,1346.32,4.17,2121,2.86,159.24,4.1,4.48,192.32,135.7,149.7,35.14,40.77,37.62,2.09,0.79,0.41,8.65,1.11,0.69,0.17,826,1509.05,4.77,2564,2.66,152.41,3.71,5.13,183.12,130.15,143.95,40.51,41.45,38.87,2.06,0.83,0.42,8.94,1.15,0.73,0.17,1040,1272.04,4.77,2564,2.66,152.41,3.71,5.13,183.12,130.15,143.95,40.51,41.45,38.87,2.06,0.83,0.42,8.94,1.15,0.73,0.17,1040,1272.04,4.39,6273,1.79,153.4,2.96,4.93,193.71,126.13,140.35,36.71,39.33,35.39,2.63,0.87,0.46,8.84,1.24,0.85,0.21,1562,909.73
7,building ,1.95,1696,1.05,202.59,1.44,2.02,171.89,222.74,213.13,6.81,6.42,6.61,1.52,0.41,0.85,6.59,2.07,0.58,-0.13,332,3252.92,1.63,1837,0.83,203.05,1.39,1.67,172.33,223.23,213.58,8.19,8.12,8.26,1.45,0.49,0.87,6.71,2.14,0.51,-0.13,286,2407.32,1.45,2455,0.72,200.24,1.34,1.46,170.51,218.53,211.67,11.64,13.15,11.52,1.13,0.74,0.87,7.14,2.25,0.28,-0.12,290,1580.32,1.45,2455,0.72,200.24,1.34,1.46,170.51,218.53,211.67,11.64,13.15,11.52,1.13,0.74,0.87,7.14,2.25,0.28,-0.12,290,1580.32,1.45,2455,0.72,200.24,1.34,1.46,170.51,218.53,211.67,11.64,13.15,11.52,1.13,0.74,0.87,7.14,2.25,0.28,-0.12,290,1580.32,1.45,2455,0.72,200.24,1.34,1.46,170.51,218.53,211.67,11.64,13.15,11.52,1.13,0.74,0.87,7.14,2.25,0.28,-0.12,290,1580.32,1.45,2455,0.72,200.24,1.34,1.46,170.51,218.53,211.67,11.64,13.15,11.52,1.13,0.74,0.87,7.14,2.25,0.28,-0.12,290,1580.32
8,building ,1.58,477,0.89,242.76,1.94,1.63,222.84,252.7,252.74,9.95,3.47,3.53,1.18,0.71,0.8,6.79,2.07,0.16,-0.06,142,1925.03,2.02,5180,1.01,239.88,1.66,2.05,216.54,251.86,251.25,12.81,4.94,5.28,1.31,0.84,0.86,7.45,2.17,0.4,-0.08,590,1130.87,2.12,6703,1.15,239.09,1.91,2.21,215.46,251.01,250.8,14.25,7.26,6.96,1.75,0.85,0.79,7.59,1.93,0.68,-0.08,724,1040.81,2.09,6740,1.15,238.81,1.9,2.19,215.19,250.73,250.53,14.91,8.7,8.37,1.75,0.85,0.79,7.6,1.93,0.67,-0.08,720,988.49,1.95,6859,1.14,238.05,1.9,2.04,214.98,249.64,249.53,16.07,12.9,12.1,1.72,0.85,0.8,7.63,1.95,0.67,-0.07,676,910.4,1.95,6859,1.14,238.05,1.9,2.04,214.98,249.64,249.53,16.07,12.9,12.1,1.72,0.85,0.8,7.63,1.95,0.67,-0.07,676,910.4,3.15,13068,1.87,234.34,2.86,3.4,211.27,246.1,245.66,19.54,17.31,17.6,2.14,0.85,0.62,7.89,1.48,0.85,-0.08,1554,891.94
9,shadow ,1.32,186,0.7,47.38,1.55,1.36,35.9,50.9,55.34,9.88,12.07,10.68,1.13,0.38,0.88,6.52,2.01,0.21,-0.17,74,4008.16,1.28,199,0.69,52.49,1.45,1.31,40.32,56.49,60.66,20.88,25.68,24.28,1.13,0.55,0.87,6.66,2.04,0.14,-0.17,74,2170.77,1.6,395,1.22,70.36,2.01,1.74,57.07,75.55,78.45,33.81,39.18,37.89,1.95,0.72,0.8,7.45,1.77,0.65,-0.14,138,2110.82,1.6,395,1.22,70.36,2.01,1.74,57.07,75.55,78.45,33.81,39.18,37.89,1.95,0.72,0.8,7.45,1.77,0.65,-0.14,138,2110.82,3.12,1984,2.02,128.99,2.43,3.54,113.34,137.45,136.17,54.65,59.11,57.4,2.73,0.87,0.65,8.86,1.31,0.86,-0.1,630,949.91,3.12,1984,2.02,128.99,2.43,3.54,113.34,137.45,136.17,54.65,59.11,57.4,2.73,0.87,0.65,8.86,1.31,0.86,-0.1,630,949.91,3.12,1984,2.02,128.99,2.43,3.54,113.34,137.45,136.17,54.65,59.11,57.4,2.73,0.87,0.65,8.86,1.31,0.86,-0.1,630,949.91
