,class
0,9
1,6
2,8
3,5
4,5
5,7
6,9
7,5
8,6
9,3
10,9
11,6
12,5
13,5
14,2
15,2
16,5
17,2
18,5
19,1
20,2
21,1
22,6
23,4
24,2
25,8
26,4
27,6
28,0
29,1
30,2
31,2
32,6
33,7
34,2
35,3
36,4
37,6
38,6
39,4
40,6
41,2
42,6
43,7
44,9
45,4
46,2
47,7
48,2
49,5
50,6
51,0
52,8
53,9
54,5
55,9
56,9
57,7
58,2
59,0
60,6
61,4
62,5
63,3
64,7
65,9
66,5
67,4
68,6
69,3
70,8
71,2
72,3
73,3
74,9
75,6
76,7
77,4
78,3
79,7
80,0
81,0
82,3
83,7
84,5
85,4
86,9
87,2
88,4
89,0
90,0
91,9
92,9
93,1
94,4
95,2
96,3
97,4
98,6
99,1
100,2
101,3
102,5
103,9
104,1
105,7
106,9
107,2
108,5
109,9
110,6
111,9
112,1
113,5
114,5
115,5
116,8
117,6
118,7
119,5
120,4
121,1
122,0
123,8
124,5
125,3
126,3
127,9
128,6
129,6
130,9
131,6
132,6
133,7
134,0
135,4
136,7
137,6
138,0
139,2
140,5
141,3
142,1
143,0
144,3
145,3
146,5
147,4
148,7
149,4
150,5
151,3
152,4
153,1
154,6
155,6
156,1
157,2
158,4
159,2
160,1
161,3
162,9
163,5
164,3
165,3
166,7
167,1
168,6
169,3
170,3
171,1
172,9
173,3
174,2
175,4
176,6
177,7
178,4
179,9
180,4
181,2
182,8
183,1
184,7
185,8
186,1
187,1
188,1
189,6
190,8
191,5
192,4
193,3
194,9
195,9
196,5
197,6
198,1
199,4
200,3
201,3
202,3
203,6
204,0
205,7
206,9
207,1
208,0
209,2
210,2
211,8
212,2
213,0
214,8
215,3
216,0
217,8
218,7
219,4
220,8
221,1
222,8
223,8
224,3
225,8
226,3
227,3
228,8
229,3
230,7
231,3
232,4
233,6
234,4
235,3
236,9
237,4
238,5
239,7
240,3
241,1
242,6
243,4
244,2
245,9
246,9
247,5
248,8
249,2
250,0
251,0
252,8
253,6
254,3
255,3
256,9
257,8
258,2
259,4
260,6
261,6
262,0
263,4
264,5
265,5
266,6
267,4
268,7
269,4
270,0
271,8
272,2
273,8
274,3
275,1
276,1
