,class
0,building 
1,grass 
2,tree 
3,car 
4,building 
5,asphalt 
6,tree 
7,building 
8,tree 
9,pool 
10,shadow 
11,soil 
12,grass 
13,grass 
14,pool 
15,grass 
16,building 
17,tree 
18,grass 
19,soil 
20,soil 
21,grass 
22,tree 
23,grass 
24,grass 
25,concrete 
26,concrete 
27,asphalt 
28,asphalt 
29,shadow 
30,asphalt 
31,concrete 
32,building 
33,concrete 
34,concrete 
35,grass 
36,concrete 
37,grass 
38,building 
39,grass 
40,grass 
41,building 
42,shadow 
43,building 
44,concrete 
45,tree 
46,pool 
47,building 
48,grass 
49,soil 
50,tree 
51,concrete 
52,asphalt 
53,concrete 
54,grass 
55,pool 
56,tree 
57,tree 
58,building 
59,shadow 
60,building 
61,shadow 
62,pool 
63,building 
64,concrete 
65,tree 
66,grass 
67,car 
68,soil 
69,asphalt 
70,concrete 
71,grass 
72,concrete 
73,tree 
74,shadow 
75,building 
76,building 
77,soil 
78,soil 
79,concrete 
80,building 
81,concrete 
82,building 
83,shadow 
84,asphalt 
85,concrete 
86,car 
87,building 
88,building 
89,tree 
90,concrete 
91,grass 
92,building 
93,asphalt 
94,grass 
95,concrete 
96,building 
97,tree 
98,grass 
99,car 
100,concrete 
101,tree 
102,asphalt 
103,tree 
104,soil 
105,concrete 
106,soil 
107,concrete 
108,building 
109,building 
110,grass 
111,building 
112,grass 
113,asphalt 
114,concrete 
115,shadow 
116,tree 
117,concrete 
118,concrete 
119,tree 
120,concrete 
121,shadow 
122,building 
123,pool 
124,building 
125,tree 
126,car 
127,concrete 
128,pool 
129,building 
130,building 
131,tree 
132,concrete 
133,tree 
134,building 
135,tree 
136,grass 
137,grass 
138,shadow 
139,grass 
140,concrete 
141,shadow 
142,pool 
143,building 
144,tree 
145,pool 
146,soil 
147,shadow 
148,car 
149,building 
150,tree 
151,building 
152,grass 
153,grass 
154,asphalt 
155,building 
156,building 
157,soil 
158,building 
159,concrete 
160,concrete 
161,tree 
162,grass 
163,grass 
164,building 
165,concrete 
166,grass 
167,grass 
168,concrete 
169,grass 
170,shadow 
171,tree 
172,grass 
173,grass 
174,concrete 
175,building 
176,building 
177,pool 
178,building 
179,building 
180,shadow 
181,grass 
182,pool 
183,tree 
184,asphalt 
185,shadow 
186,building 
187,concrete 
188,tree 
189,building 
190,asphalt 
191,shadow 
192,concrete 
193,asphalt 
194,grass 
195,concrete 
196,grass 
197,asphalt 
198,building 
199,grass 
200,tree 
201,concrete 
202,asphalt 
203,building 
204,grass 
205,pool 
206,building 
207,building 
208,asphalt 
209,tree 
210,building 
211,tree 
212,tree 
213,tree 
214,building 
215,building 
216,concrete 
217,asphalt 
218,asphalt 
219,car 
220,building 
221,asphalt 
222,asphalt 
223,concrete 
224,building 
225,asphalt 
226,asphalt 
227,building 
228,soil 
229,concrete 
230,grass 
231,tree 
232,grass 
233,building 
234,tree 
235,building 
236,building 
237,grass 
238,shadow 
239,concrete 
240,tree 
241,concrete 
242,building 
243,concrete 
244,shadow 
245,concrete 
246,building 
247,shadow 
248,concrete 
249,concrete 
250,soil 
251,tree 
252,grass 
253,building 
254,pool 
255,asphalt 
256,building 
257,concrete 
258,tree 
259,tree 
260,grass 
261,building 
262,tree 
263,asphalt 
264,shadow 
265,concrete 
266,building 
267,concrete 
268,concrete 
269,building 
270,grass 
271,tree 
272,concrete 
273,shadow 
274,asphalt 
275,building 
276,grass 
277,shadow 
278,pool 
279,tree 
280,asphalt 
281,pool 
282,car 
283,grass 
284,asphalt 
285,concrete 
286,tree 
287,concrete 
288,shadow 
289,concrete 
290,concrete 
291,tree 
292,shadow 
293,pool 
294,car 
295,concrete 
296,asphalt 
297,concrete 
298,car 
299,grass 
300,concrete 
301,shadow 
302,grass 
303,grass 
304,soil 
305,pool 
306,concrete 
307,tree 
308,building 
309,soil 
310,car 
311,grass 
312,asphalt 
313,tree 
314,building 
315,grass 
316,tree 
317,asphalt 
318,grass 
319,shadow 
320,concrete 
321,grass 
322,grass 
323,tree 
324,grass 
325,tree 
326,grass 
327,tree 
328,asphalt 
329,concrete 
330,shadow 
331,concrete 
332,grass 
333,grass 
334,tree 
335,soil 
336,pool 
337,asphalt 
338,grass 
339,tree 
340,grass 
341,building 
342,concrete 
343,concrete 
344,tree 
345,tree 
346,building 
347,shadow 
348,concrete 
349,building 
350,concrete 
351,soil 
352,concrete 
353,building 
354,tree 
355,soil 
356,asphalt 
357,pool 
358,asphalt 
359,tree 
360,concrete 
361,asphalt 
362,car 
363,car 
364,shadow 
365,concrete 
366,tree 
367,grass 
368,grass 
369,grass 
370,asphalt 
371,car 
372,building 
373,grass 
374,asphalt 
375,car 
376,concrete 
377,concrete 
378,soil 
379,shadow 
380,concrete 
381,concrete 
382,grass 
383,concrete 
384,tree 
385,grass 
386,concrete 
387,asphalt 
388,concrete 
389,grass 
390,grass 
391,shadow 
392,asphalt 
393,grass 
394,tree 
395,tree 
396,shadow 
397,concrete 
398,grass 
399,car 
400,building 
401,tree 
402,car 
403,car 
404,building 
405,grass 
406,concrete 
407,building 
408,grass 
409,building 
410,building 
411,grass 
412,asphalt 
413,car 
414,tree 
415,concrete 
416,building 
417,asphalt 
418,grass 
419,tree 
420,pool 
421,building 
422,concrete 
423,grass 
424,car 
425,car 
426,building 
427,asphalt 
428,concrete 
429,tree 
430,tree 
431,pool 
432,tree 
433,tree 
434,asphalt 
435,asphalt 
436,grass 
437,shadow 
438,asphalt 
439,asphalt 
440,tree 
441,tree 
442,car 
443,concrete 
444,soil 
445,shadow 
446,car 
447,grass 
448,soil 
449,building 
450,car 
451,soil 
452,building 
453,car 
454,pool 
455,building 
456,building 
457,grass 
458,concrete 
459,car 
460,car 
461,concrete 
462,car 
463,tree 
464,tree 
465,tree 
466,concrete 
467,asphalt 
468,shadow 
469,shadow 
470,soil 
471,grass 
472,pool 
473,car 
474,concrete 
475,pool 
476,asphalt 
477,asphalt 
478,soil 
479,concrete 
480,car 
481,grass 
482,building 
483,asphalt 
484,tree 
485,soil 
486,shadow 
487,tree 
488,shadow 
489,grass 
490,concrete 
491,asphalt 
492,shadow 
493,building 
494,tree 
495,shadow 
496,grass 
497,tree 
498,shadow 
499,tree 
500,tree 
501,building 
502,soil 
503,tree 
504,building 
505,building 
506,tree 
